barcat -f'([.0-9]+)(?=,m)' t1320-earthquakes.in
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-23T13:32:01.060Z,36.0413322,-120.2453308,13.57,2.48,md,26,131,0.1773,0.12,nc,nc73278290,2019-09-23T14:03:45.416Z,"11km WNW of Avenal, CA",earthquake,0.53,1.66,0.23,16,automatic,nc,nc                                               
2019-09-23T13:16:57.170Z,36.0901667,-117.8598333,5.57,1.33,ml,18,89,0.02765,0.13,ci,ci38853575,2019-09-23T13:20:31.134Z,"9km ENE of Coso Junction, CA",earthquake,0.3,0.49,0.274,14,automatic,ci,ci                                          
2019-09-23T13:13:25.900Z,36.0896683,-117.8626633,4.75,1.16,ml,12,93,0.02856,0.16,ci,ci38853559,2019-09-23T13:16:54.114Z,"9km ENE of Coso Junction, CA",earthquake,0.45,0.9,0.269,8,automatic,ci,ci                                           
2019-09-23T13:12:50.570Z,19.3145008,-155.2528381,5.98,   2,ml,45,89,0.04248,0.14,hv,hv71156092,2019-09-23T13:18:33.340Z,"12km S of Volcano, Hawaii",earthquake,0.33,0.62,0.2,5,automatic,hv,hv                                               
2019-09-23T13:10:18.624Z,65.4032,-153.4363,0, 1.5,ml,,,,0.72,ak,ak019c84r4tt,2019-09-23T13:23:05.146Z,"68km WNW of Tanana, Alaska",earthquake,,0.5,,,automatic,ak,ak                                                                         
2019-09-23T13:09:06.532Z,61.6211,-146.3765,34.9, 1.5,ml,,,,0.75,ak,ak019c84qw5x,2019-09-23T13:15:23.017Z,"54km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak                                                                        
2019-09-23T13:03:39.630Z,35.9151649,-117.6768341,8.14,1.17,ml,17,75,0.03909,0.12,ci,ci38853543,2019-09-23T13:07:25.053Z,"21km E of Little Lake, CA",earthquake,0.33,0.76,0.361,3,automatic,ci,ci                                             
2019-09-23T12:58:35.340Z,36.0861667,-117.8545,5.17,1.08,ml,12,133,0.03135,0.11,ci,ci38853535,2019-09-23T13:02:19.019Z,"10km ENE of Coso Junction, CA",earthquake,0.32,0.49,0.226,15,automatic,ci,ci                                          
2019-09-23T12:47:15.010Z,19.184166,-155.4511719,33.15,2.29,md,36,208,0.0734,0.12,hv,hv71156057,2019-09-23T12:50:29.460Z,"3km SE of Pahala, Hawaii",earthquake,0.75,0.93,0.29,3,automatic,hv,hv                                               
2019-09-23T12:44:43.840Z,35.8748333,-117.7013333,6.63,1.22,ml,17,77,0.08383,0.1,ci,ci38853519,2019-09-23T12:48:27.928Z,"20km ESE of Little Lake, CA",earthquake,0.21,0.47,0.153,15,automatic,ci,ci                                           
