barcat -Hes input/megametric.txt
 30e-34 
300e-33 
3.0e-32 
 30e-31 
300e-30 
3.0r 
 30r 
300r 
3.0y 
 30y 
300y 
3.0z 
 30z 
300z 
3.0a 
 30a 
300a 
3.0f 
 30f 
300f 
3.0p 
 30p 
300p 
3.0n 
 30n 
300n 
3.0μ 
 30μ 
300μ 
3.0m 
 30m 
300m 
3.0  +
 30  +-
300  +--
3.0k +---
 30k +----
300k +-----
3.0M +------
 30M +-------
300M +--------
3.0G +---------
 30G +----------
300G +-----------
3.0T +----------->
 30T +----------->--
300T +----------->---
3.0P +----------->----
 30P +----------->-----
300P +----------->------
3.0E +----------->-------
 30E +----------->--------
300E +----------->---------
3.0Z +----------->----------
 30Z +----------->-----------
300Z +----------->------------
3.0Y +----------->-------------
 30Y +----------->--------------
300Y +----------->----------------
3.0R +----------->-----------------
 30R +----------->------------------
300R +----------->-------------------
3.0e30 +----------->-------------------=
 30e31 +----------->-------------------=-
300e32 +----------->-------------------=--
333e32 total in 65 values (30e-34 min, 5.1e30 avg, 300e32 max)
